PPN	EPN	Jahr	Verfasser	Titel	Umfang	Hinweise	Einband	Signatur	Link
655194789	1235781143	1676	Ruepprecht, Johann Thomas ; ID: gnd/128567988	[Stammbuch Johann Thomas Ruepprecht]	183 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden. Goldschnitt, farbig punziert. Hinteres Vorsatz Wellenmarmorpapier, beschrieben.	Stb 61	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286375320
655194797	1235781151	1640	Rau, David ; ID: gnd/1017062285	[Stammbuch David Rau]	317 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit Goldprägung, Streicheisenlinien, Mittelmadaillon auf Vorder- und Rückdeckel, 'D R V || 1640' (Goldprägung, Vorderdeckel); punzierter Goldschnitt.	Stb 62	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286388171
655194800	736091785	1689	Albrecht, Johann Mathias ; ID: gnd/1014839475	[Stammbuch Johann Mathias Albrecht]	243 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder mit Goldprägung, Streicheisenlinien, kleine Medaillons in der Mitte und den Ecken beider Deckel. Goldschnitt, an Kapital und Ecken punziert. Spiegel und Vorsätze Wellenmarmorpapier.	Stb 63	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286394511
655194819	1235781178	1699	Algoewer, David *1678-1737* ; ID: gnd/116286598	[Stammbuch David Algoewer]	157 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder, wenig Goldprägung, Streicheisenlinien. Goldschnitt.	Stb 64	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=128676260X
655194827	1235781186	1701	Algoewer, David *1678-1737* ; ID: gnd/116286598	[Stammbuch David Algoewer]	186 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder mit Goldprägung, Streicheisenlinien, kleine Medaillons in der Mitte und den Ecken beider Deckel. Goldschnitt. Spiegel und Vorsätze goldener Bronzefirnisdruck auf weinrot gestrichenem Buntpapier, signiert: IEnd Aug (Jakob Enderlin, Augsburg, vgl. Haemmerle S. 120).	Stb 65	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286766427
655194835	1235781194	1649	Heerbrand, Johann Philipp ; ID: gnd/101185547X	[Stammbuch Johann Philipp Heerbrand]	95 Bl.	Enth. auch leere Bl.	Einband: Blindgeprägtes Kalbleder, Streicheisenlinien, Rollen und Plattenstempel; Reste von vier Schleifenbändern. - Enthält viele Pergamentblätter.	Stb 66	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1253535612
655194843	1235781208	1738	Algoewer, Johann Jacob *1718-1780* ; ID: gnd/115356568	[1. Stammbuch Johann Jacob Algoewer]	138 Bl.	Enth. auch leere Bl.	Einband: Geglättetes, in zwei verschiedenen Brauntönen gefärbtes Pergament mit Goldprägung. Goldschnitt. Spiegel und Vorsätze Brokatpapier mit Schachbrettmuster (10 Felder = 82x81 mm), patroniert (hellgrün, violett, violettblau, gelb, karminrot).	Stb 67	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1287371973
655194851	1235781240	1738	Algoewer, Johann Jacob *1718-1780* ; ID: gnd/115356568	[2. Stammbuch Johann Jacob Algoewer]	175 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder mit wenig Goldprägung, Streicheisenlinien. Goldschnitt. Spiegel und Vorsätze Kamm-Marmorpapier.	Stb 68	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1287377971
65519486X	1235781259	1624	Huber, Peter *1603-1670* ; ID: gnd/123071410	[Stammbuch Peter Huber]	200 Bl.	Enth. auch zahlr. leere Bl.	Einband: Geglättetes Pergament mit schwarz eingefärbter Prägung, Streicheisenlinien, Medaillons in der Mitte und den Ecken beider Deckel; ungefärbter punzierter Schnitt (Blüten).	Stb 69	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1287381448
655194878	1235781267	1615	Maier, Wolfgang Clemens *-1623* ; ID: gnd/1017123144	[Stammbuch Wolfgang Clemens Maier]	198 Bl.	Enth. auch leere Bl.	Einband: Geglättetes Pergament mit Blindprägung, Streicheisenlinien, Medaillons in der Mitte und den Ecken beider Deckel; indigogefärbter punzierter Schnitt (Ranken und Blüten).	Stb 70	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1287399088
655194886	1235781275	1632	Wickh, Johann Heinrich ; ID: gnd/1017188785	[Stammbuch Johann Heinrich Wickh]	257 Bl.	Enth. auch zahlr. leere Bl.	Einband: Schwarzes Maroquin mit vergoldeten Streicheisenlinien. Goldschnitt, an Kapital und Ecken punziert.	Stb 71	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1288955472
655194894	1235781283	1664	Dieterich, Helwig *-1700* ; ID: gnd/121293092	[Stammbuch Helwig Dieterich]	269 Bl.	Enth. auch leere Bl.	Einband: Genarbtes braunes Rindleder mit vergoldeten Streicheisenlinien. Goldschnitt, punziert. Spiegel und Vorsätze Kamm-Marmorpapier.	Stb 72	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1288960190
655194908	1235781291	1688	Ringmacher, Daniel *1662-1728* ; ID: gnd/124841287	[Stammbuch Daniel Ringmacher]	246 Bl.	Enth. auch leere Bl.	Einband: Dunkelbraunes Kalbleder mit vergoldeten Streicheisenlinien. Goldschnitt. Spiegel und Vorsätze Steinmarmorpapier. 'M. D. R. || 1688' (Goldprägung Vorderdeckel).	Stb 73	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1288963920
655194916	1235781305	1730	Ringmacher, Philipp Jakob *1707-1772* ; ID: gnd/1017713790	[Stammbuch Philipp Jakob Ringmacher]	171 Bl.	Enth. auch leere Bl.	Einband: Geglättetes, schwarz- und rotgefärbtes Pergament mit reicher Goldprägung (Medaillonmuster, ähnlich wie Stb 105, Stb 22, Stb 24, Stb 25 und Stb 82). Goldschnitt, an Kapital und Ecken punziert. Spiegel und Vorsätze Wellenmarmorpapier.	Stb 74	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1288966342
655194924	1235781313	1718	Ringmacher, Johann Elias *1696-1772* ; ID: gnd/142672424	[Stammbuch Johann Elias Ringmacher]	166 Bl.	Enth. auch leere Bl.	Einband: Kalbleder, in der Art von Kiebitzpapier gefärbt, Goldprägung als breite (23mm), umlaufende Borte; punzierter Goldschnitt. Spiegel und Vorsätze Brokatpapier auf hellrot gestrichenem Grund.	Stb 75	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289186022
655194932	1235781321	1651	Stölzlin, David *1633-1683* ; ID: gnd/1017716080	[Stammbuch David Stölzlin]	268 Bl.	Enth. auch zahlr. leere Bl.	Einband: Schwarzes genarbtes Rindleder. Goldschnitt. Spiegel Kamm-Marmorpapier.	Stb 76	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289227160
655194940	123578133X	1652	Zeiler, Johann Jakob ; ID: gnd/1018192352	[Stammbuch Johann Jakob Zeiler]	200 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin, wenig Goldprägung. Goldschnitt, punziert.	Stb 77	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=128923437X
